,company_1,company_2
113,423074103,693506107
114,544147101,563571108
115,651229106,963320106
116,370334104,94106L109
117,595112103,637640103
118,189054109,92826C839
119,1055102,899896104
120,423074103,56585A102
121,278865100,98956P102
122,57224107,9158106
123,117043109,546347105
124,149123101,423452101
125,459200101,532457108
126,260543103,30249U101
127,02209S103,655844108
128,237194105,98419M100
129,110122108,263534109
130,2.65E+104,847560109
131,125896100,576206106
132,343412102,74340W103
133,74834L100,98956P102
134,260543103,423074103
135,233331107,574599106
136,487836108,73730103
137,165167107,H84989104
138,740189105,94106L109
139,25490A309,501044101
140,931142103,984332106
141,02076X102,307000109
142,14170T101,48203R104
143,40434L105,G91442106
144,1204106,654086107
145,744573106,774341101
146,277432100,413875105
147,244199105,913017109
148,291011104,423074103
149,30303M102,655844108
150,539830109,887389104
151,654106103,742718109
152,674599105,74460D109
153,740189105,81211K100
154,651639106,98389B100
155,15189T107,406216101
156,00206R102,1765106
157,165167107,320517105
158,166764100,929160109
159,256677105,67622P101
160,05329W102,760759100
161,134429109,696429307
162,15189T107,N53745100
163,724479100,88579Y101
164,19122T109,524660107
165,53015103,806605101
166,26874784,485865109
167,126408103,867914103
168,460690100,74251V102
169,501044101,907818108
170,149123101,2824100
171,24906P109,512807108
172,460146103,57224107
173,478366107,574599106
174,117043109,205363104
175,501044101,824348106
176,512807108,670008101
177,79299X952,8.94E+113
178,13078100,67622P101
179,166764100,580135101
180,14149Y108,151020104
181,67383109,74834L100
182,17275R102,931142103
183,277432100,H84989104
184,617446448,852061100
185,14149Y108,G29183103
186,413875105,437076102
187,189054109,58155Q103
188,427866108,579780206
189,716768106,974280109
190,200340107,500255104
191,883203101,902494103
192,808513105,9363102
193,281020107,H8817H100
194,263534109,493267108
195,2.61E+113,423074103
196,30231G102,459200101
197,117043109,854502101
198,50540R409,981811102
199,53332102,783549108
200,565849106,56585A102
201,19122T109,56585A102
202,580645109,G1151C101
203,452308109,583334107
204,257867101,94106L109
205,842587107,87161C501
206,354613101,58933Y105
207,247361108,32511107
208,13342B105,343412102
209,30161N101,G47791101
210,655844108,867914103
211,20002101,665859104
212,369604103,54303102
213,14040H105,413875105
214,134429109,703395103
215,824348106,G29183103
216,263534109,450911201
217,9158106,H84989104
218,00206R102,291011104
219,01741R102,09247X101
220,25470F104,852061100
221,30219G108,50540R409
222,20002101,30161N101
223,19122T109,G491BT108
224,382388106,452308109
225,58405U102,884315102
226,18490102,2.82E+112
227,34988V106,844741108
228,260003108,716768106
229,6.29E+112,852061100
230,343412102,53611109
231,608190104,833034101
232,459200101,460146103
233,14040H105,65339F101
234,852061100,871829107
235,277432100,427866108
236,343412102,872540109
237,65339F101,867914103
238,9158106,G47791101
239,842587107,929160109
240,651639106,842587107
241,14149Y108,G0408V102
242,36752103,801056102
243,156708109,91324P102
244,101137107,17275R102
245,13817101,25537101
246,369604103,42809H107
247,867914103,91529Y106
248,369604103,92343V104
249,14149Y108,277432100
250,375558103,949746101
251,32654105,714046109
252,354613101,73730103
253,125269100,23608102
254,413875105,783549108
255,423074103,42809H107
256,172062101,73730103
257,30231G102,68389X105
258,525327102,99724106
259,354613101,806605101
260,156708109,74834L100
261,14170T101,74340W103
262,244199105,452308109
263,281020107,N53745100
264,384802104,54303102
265,539830109,61166W101
266,2824100,88579Y101
267,14170T101,714046109
268,343412102,406216101
269,251893103,98956P102
270,370334104,883203101
271,20002101,959802109
272,125509109,156782104
273,19122T109,294429105
274,20825C104,294429105
275,40434L105,742718109
276,30231G102,79299X952
277,237194105,867914103
278,31162100,655844108
279,44107P104,74340W103
280,583334107,717081103
281,1765106,44107P104
282,165167107,254067101
283,717081103,8.76E+110
284,260543103,42809H107
285,704549203,G7665A101
286,G91442106,H1467J104
287,313400301,7591EP100
288,450911201,969457100
289,382388106,525327102
290,01741R102,382388106
291,110122108,582839106
292,302491303,H84989104
293,440452100,589433101
294,189054109,487836108
295,194162103,713448108
296,20002101,437076102
297,177376100,69370C100
298,502161102,670008101
299,269246401,704326107
300,302491303,450911201
301,01741R102,26884L109
302,49455P101,49456B101
303,42809H107,743263105
304,00206R102,899896104
305,244199105,963320106
306,437076102,501044101
307,26874784,54303102
308,110122108,50540R409
309,12673P105,69370C100
310,44209104,58498106
311,01741R102,887389104
312,244199105,88579Y101
313,532457108,8.76E+110
314,452308109,580135101
315,55616P104,G6518L108
316,450911201,74834L100
317,717081103,949746101
318,563571108,773903109
319,48203R104,92826C839
320,61166W101,742718109
321,23608102,291011104
322,532457108,654106103
323,149123101,247361702
324,260543103,565849106
325,01741R102,20854P109
326,655044105,G65431101
327,682680103,G65431101
328,69344F106,925550105
329,343412102,962166104
330,302491303,665859104
331,544147101,854502101
332,450911201,880779103
333,74251V102,98956P102
334,26874784,92826C839
335,565849106,847560109
336,18490102,460690100
337,369604103,806605101
338,13817101,58933Y105
339,219350105,783549108
340,247361108,617446448
341,134429109,963320106
342,177376100,294429105
343,02209S103,959802109
344,00817Y108,194162103
345,534187109,844741108
346,693718108,962166104
347,382388106,887389104
348,364760108,651229106
349,205363104,881609101
350,958102105,G1151C101
351,1204106,423074103
352,963320106,969457100
353,413875105,909214306
354,166764100,8.76E+110
355,25490A309,871829107
356,31428X106,450911201
357,423074103,565849106
358,369604103,58933Y105
359,459200101,742718109
360,248019101,502161102
361,372460105,87161C501
362,460146103,913017109
363,565849106,704549203
364,459200101,88579Y101
365,421933102,717081103
366,31428X106,98419M100
367,450911201,98419M100
368,18490102,53611109
369,12504L109,984332106
370,452308109,665859104
371,337738108,962166104
372,440452100,703395103
373,15189T107,32511107
374,20825C104,263534109
375,207142308,53217V109
376,257867101,899896104
377,219350105,58933Y105
378,36752103,44209104
379,13817101,742718109
380,406216101,704549203
381,693506107,74005P104
382,713448108,883203101
383,13817101,416515104
384,674599105,983134107
385,02076X102,18581108
386,25490A309,56585A102
387,384802104,74251V102
388,446150104,981811102
389,565849106,57224107
390,260003108,307000109
391,583334107,59156R108
392,02209S103,571903202
393,31428X106,94106L109
394,44107P104,53484101
395,539830109,60871R209
396,219350105,806605101
397,808513105,H84989104
398,478160104,H1467J104
399,487836108,86516101
400,74733V100,G3157S106
401,852061100,98956P102
402,00971T101,337738108
403,31428X106,654106103
404,02209S103,25746U109
405,00817Y108,260543103
406,17275R102,808513105
407,149123101,532457108
408,30303M102,617446448
409,589433101,74251V102
410,14149Y108,25537101
411,888339207,891027104
412,372460105,867914103
413,257867101,670006105
414,53015103,7591EP100
415,32511107,N53745100
416,512807108,755111507
417,748356102,989701107
418,478366107,6.39E+112
419,91324P102,95040Q104
420,34354P105,963320106
421,260543103,963320106
422,285512109,681919106
423,257867101,718172109
424,12504L109,281020107
425,460146103,713448108
426,24702R101,67901108
427,30249U101,481165108
428,263534109,913017109
429,2.61E+113,899896104
430,285512109,423074103
431,14149Y108,774341101
432,03748R101,22822V101
433,1055102,87161C501
434,57224107,H8817H100
435,36752103,871829107
436,20825C104,891027104
437,01741R102,02076X102
438,30231G102,8.94E+113
439,251893103,879664100
440,416515104,913017109
441,56585A102,64058100
442,370334104,907818108
443,24906P109,880779103
444,149123101,20002101
445,13078100,74340W103
446,149123101,G6518L108
447,165167107,9.23E+106
448,421924309,7591EP100
449,14170T101,716768106
450,582839106,73730103
451,17275R102,984332106
452,00971T101,412822108
453,406216101,74005P104
454,88076W103,G91442106
455,337738108,55262C100
456,29476L107,665859104
457,09247X101,406216101
458,143130102,67622P101
459,263534109,98419M100
460,09247X101,92343V104
461,14040H105,73730103
462,2824100,8.76E+110
463,37247D106,485865109
464,544147101,907818108
465,1204106,26875P101
466,189054109,748356102
467,00971T101,2.65E+104
468,404119109,525327102
469,32654105,59156R108
470,149123101,883203101
471,14170T101,81211K100
472,143130102,716768106
473,184502102,404119109
474,382388106,743263105
475,446150104,69351T106
476,192446102,724479100
477,450911201,701094104
478,460146103,539830109
479,450911201,7591EP100
480,165167107,91913Y100
481,257867101,609207105
482,281020107,525327102
483,30161N101,64058100
484,681919106,91913Y100
485,40434L105,58155Q103
486,20002101,2824100
487,212485106,44107P104
488,852061100,879664100
489,172062101,501044101
490,277432100,863667101
491,30219G108,460690100
492,25537101,761713106
493,291011104,459200101
494,459200101,580645109
495,131347106,22822V101
496,20002101,88579Y101
497,59156R108,92343V104
498,67901108,98310W108
499,30161N101,G0408V102
500,165167107,525327102
501,03748R101,406216101
502,74733V100,748356102
503,382388106,891027104
504,149123101,580135101
505,101137107,151020104
506,00206R102,501044101
507,416515104,744573106
508,532457108,580645109
509,20825C104,79299X952
510,26874784,412822108
511,899896104,91913Y100
512,09247X101,65339F101
513,23317H102,824348106
514,25746U109,867914103
515,25490A309,565849106
516,126408103,847560109
517,583334107,693475105
518,12541W209,703395103
519,512807108,704326107
520,337932107,493267108
521,242370203,852061100
522,256677105,53332102
523,962166104,98389B100
524,00846U101,478160104
525,127097103,G7665A101
526,565849106,9158106
527,184502102,22822V101
528,19122T109,501797104
529,134429109,2.65E+104
530,25470F104,485865109
531,608190104,99724106
532,02076X102,887389104
533,251893103,53015103
534,423074103,524901105
535,53015103,58933Y105
536,307000109,80589M102
537,337932107,99724106
538,237194105,92343V104
539,714046109,99724106
540,31428X106,744573106
541,1765106,364760108
542,205363104,48203R104
543,30249U101,847560109
544,125509109,40414L109
545,244199105,G0408V102
546,134429109,478160104
547,2.82E+112,53611109
548,580135101,G0408V102
549,165167107,637071101
550,278865100,902973304
551,165167107,546347105
552,717081103,G47791101
553,460690100,963320106
554,316773100,91529Y106
555,24702R101,565849106
556,466313103,9363102
557,294429105,891906109
558,00206R102,2.61E+113
559,212485106,776696106
560,824348106,832696405
561,24702R101,717081103
562,36752103,91529Y106
563,450911201,525327102
564,01741R102,783549108
565,13817101,459200101
566,493267108,737630103
567,723484101,842587107
568,42809H107,808513105
569,165167107,26817G300
570,263534109,9363102
571,460690100,73730103
572,482584109,812350106
573,608554101,665859104
574,31428X106,53332102
575,1765106,487836108
576,207142308,747277101
577,25179M103,G65431101
578,313400301,H1467J104
579,58933Y105,806605101
580,247361108,984332106
581,24702R101,30303M102
582,165167107,755111507
583,126408103,254067101
584,423074103,693475105
585,854502101,88579Y101
586,00846U101,58155Q103
587,67103H107,681919106
588,25490A309,963320106
589,277432100,H1467J104
590,565849106,92343V104
591,580135101,61166W101
592,478160104,8.76E+110
593,14040H105,30161N101
594,583334107,887389104
595,110122108,714046109
596,205887102,7591EP100
597,244199105,665859104
598,00971T101,984332106
599,48203R104,595112103
600,09247X101,26884L109
601,743263105,949746101
602,30219G108,871829107
603,25537101,704549203
604,242370203,716768106
605,55262C100,H1467J104
606,125509109,74340W103
607,574599106,773903109
608,256677105,413875105
609,354613101,693718108
610,156782104,723484101
611,372460105,7591EP100
612,670346105,693506107
613,01741R102,67901108
614,18683K101,651639106
615,302491303,30249U101
616,171232101,931142103
617,219350105,487836108
618,117043109,539830109
619,372460105,478160104
620,04621X108,92826C839
621,01741R102,693475105
622,67383109,G47791101
623,00971T101,G1151C101
624,500255104,786514208
625,20825C104,8.94E+113
626,31162100,786514208
627,244199105,31162100
628,608554101,G0408V102
629,12541W209,760759100
630,61166W101,693506107
631,583334107,G6518L108
632,302130109,962166104
633,172062101,316773100
634,579780206,583334107
635,313400301,G98290102
636,30161N101,446150104
637,532457108,58498106
638,247361108,247361702
639,30161N101,580135101
640,364760108,501044101
641,369604103,665859104
642,532457108,655844108
643,580645109,931142103
644,117043109,871829107
645,512807108,880770102
646,36752103,742718109
647,00846U101,134429109
648,260543103,88076W103
649,452308109,88579Y101
650,14170T101,53217V109
651,406216101,53611109
652,184502102,G6518L108
653,58405U102,724479100
654,302491303,565849106
655,13817101,617446448
656,6.39E+112,637071101
657,205887102,580135101
658,2.82E+112,64058100
659,30249U101,651290108
660,20825C104,580645109
661,13342B105,32511107
662,87161C501,891906109
663,03822W406,747277101
664,501797104,89302103
665,580645109,591708102
666,171232101,36752103
667,14149Y108,8.76E+110
668,24702R101,931142103
669,502161102,512807108
670,6.39E+112,724479100
671,233331107,743263105
672,09247X101,718172109
673,460690100,724479100
674,1204106,343412102
675,126408103,44209104
676,219350105,65339F101
677,171232101,34988V106
678,744573106,G47791101
679,13817101,902973304
680,00817Y108,94106L109
681,00206R102,891906109
682,9.23E+106,958102105
683,58933Y105,617446448
684,149123101,580645109
685,579780206,86732Y109
686,35671D857,907818108
687,30161N101,427866108
688,59156R108,696429307
689,313400301,580645109
690,478160104,589433101
691,14040H105,364760108
692,1055102,891906109
693,651639106,929160109
694,00206R102,12504L109
695,704549203,92343V104
696,6.29E+112,959802109
697,219350105,53015103
698,31162100,95040Q104
699,32654105,384802104
700,278865100,9363102
701,30231G102,571903202
702,14149Y108,50540R409
703,744573106,81211K100
704,437076102,988498101
705,205887102,58933Y105
706,05329W102,53332102
707,260543103,459200101
708,13078100,413875105
709,65339F101,755111507
710,337932107,58498106
711,00206R102,35671D857
712,25537101,44209104
713,281020107,84670702
714,737630103,949746101
715,14040H105,94106L109
716,20002101,501044101
717,583334107,64058100
718,57224107,74005P104
719,260003108,34354P105
720,23608102,902973304
721,1765106,437076102
722,247361108,655844108
723,205887102,806605101
724,313400301,615369105
725,693506107,91324P102
726,744573106,881609101
727,58498106,654086107
728,172908105,212485106
729,00206R102,617446448
730,194162103,64058100
731,655664100,988498101
732,219350105,413875105
733,14170T101,574599106
734,126408103,8.94E+113
735,26874784,713448108
736,437076102,53015103
737,233331107,260543103
738,219350105,2824100
739,30219G108,58405U102
740,208464107,440452100
741,481165108,92939U106
742,443683107,917047102
743,8.76E+110,959802109
744,30231G102,931142103
745,370334104,854502101
746,31162100,808513105
747,412822108,55616P104
748,478366107,92939U106
749,31428X106,459200101
750,31428X106,565849106
751,34354P105,704549203
752,00206R102,87161C501
753,03076C106,53484101
754,19122T109,G98290102
755,6.29E+112,88076W103
756,20002101,57224107
757,171232101,369604103
758,166764100,31162100
759,25490A309,913017109
760,149123101,31428X106
761,117043109,35671D857
762,2824100,64058100
