,CUSIP,color
403,693506107,Red
404,666807102,Blue
405,G0408V102,Red
406,563571108,Red
407,20854P109,Red
408,891906109,Red
409,1204106,Red
410,413875105,Red
411,15189T107,Red
412,2.82E+112,Red
413,858912108,Red
414,811054402,Blue
415,737630103,Red
416,224399105,Blue
417,854502101,Red
418,925550105,Red
419,29476L107,Red
420,751212101,Blue
421,231021106,Blue
422,412822108,Red
423,12673P105,Red
424,579780206,Red
425,91913Y100,Red
426,03076C106,Red
427,294429105,Red
428,29364G103,Blue
429,54303102,Red
430,1765106,Red
431,880770102,Red
432,61174X109,Red
433,53484101,Red
434,438516106,Blue
435,844741108,Red
436,59156R108,Red
437,18490102,Red
438,19122T109,Red
439,868536103,Blue
440,929160109,Red
441,75281A109,Red
442,450911201,Red
443,512807108,Red
444,79466L302,Blue
445,907818108,Red
446,67066G104,Red
447,48666K109,Blue
448,929042109,Blue
449,917047102,Red
450,583334107,Red
451,828806109,Blue
452,7.50E+105,Red
453,G24140108,Blue
454,608554101,Red
455,524660107,Red
456,871829107,Red
457,25490A309,Red
458,235851102,Red
459,911312106,Blue
460,H1467J104,Red
461,565849106,Red
462,189754104,Blue
463,989701107,Red
464,899896104,Red
465,26884L109,Red
466,00846U101,Red
467,74733V100,Red
468,03822W406,Red
469,741503403,Red
470,68389X105,Red
471,30040W108,Blue
472,165167107,Red
473,58155Q103,Red
474,803062108,Red
475,981811102,Red
476,127097103,Red
477,G7665A101,Red
478,101121101,Blue
479,14040H105,Red
480,816851109,Blue
481,278865100,Red
482,67622P101,Red
483,177376100,Red
484,46625H100,Blue
485,55262C100,Red
486,171779309,Red
487,31428X106,Red
488,701094104,Red
489,111412706,Blue
490,595112103,Red
491,872540109,Red
492,42809H107,Red
493,205638109,Blue
494,423452101,Red
495,459200101,Red
496,716768106,Red
497,30219G108,Red
498,534187109,Red
499,370023103,Blue
500,69344F106,Red
501,778296103,Blue
502,74834L100,Red
503,911905107,Blue
504,23135106,Blue
505,22160K105,Blue
506,84670702,Red
507,24906P109,Red
508,21441100,Blue
509,852061100,Red
510,20825C104,Red
511,92276F100,Blue
512,156708109,Red
513,G3157S106,Red
514,745867101,Blue
515,88579Y101,Red
516,40414L109,Red
517,571748102,Blue
518,49446R109,Blue
519,02503Y103,Blue
520,01741R102,Red
521,651290108,Red
522,37411105,Red
523,540424108,Blue
524,696429307,Red
525,35671D857,Red
526,117043109,Red
527,988498101,Red
528,74340W103,Red
529,53217V109,Red
530,481165108,Red
531,G65431101,Red
532,00206R102,Red
533,302445101,Red
534,372460105,Red
535,655044105,Red
536,501044101,Red
537,151020104,Red
538,207142308,Red
539,747277101,Red
540,G3921A100,Blue
541,354613101,Red
542,681919106,Red
543,67103H107,Red
544,13817101,Red
545,81211K100,Red
546,958102105,Red
547,806857108,Blue
548,32095101,Red
549,91324P102,Red
550,85590A401,Blue
551,86732Y109,Red
552,222862104,Blue
553,527288104,Blue
554,740189105,Red
555,64110D104,Blue
556,2.65E+104,Red
557,74460D109,Red
558,704326107,Red
559,670006105,Red
560,37833100,Blue
561,G47791101,Red
562,254067101,Red
563,693475105,Red
564,887389104,Red
565,G91442106,Red
566,526057104,Blue
567,314211103,Red
568,469814107,Blue
569,13078100,Red
570,466313103,Red
571,546347105,Red
572,134429109,Red
573,18581108,Red
574,811065101,Blue
575,32654105,Red
576,75886F107,Blue
577,714046109,Red
578,886547108,Blue
579,718172109,Red
580,790849103,Blue
581,26875P101,Red
582,G6359F103,Blue
583,774341101,Red
584,608190104,Red
585,637071101,Red
586,67901108,Red
587,655664100,Red
588,637640103,Red
589,55921100,Blue
590,74144T108,Blue
591,31100100,Blue
592,7903107,Blue
593,826552101,Blue
594,98419M100,Red
595,260003108,Red
596,529771107,Blue
597,595017104,Blue
598,941848103,Blue
599,770323103,Red
600,502161102,Red
601,49455P101,Red
602,49456B101,Red
603,670008101,Red
604,98310W108,Red
605,591708102,Red
